id;code;name;description;parent_category_code
1;Table;open-source;Integration;82897
2;SCSI;Practical Chief programming;Chips Kentucky;69811
3;Electronics;Soap Salad killer;Games;24149
4;Program mesh;Designer array;Verde;55728
5;North Fresh;pink Account;archive;92416
6;Versatile bypass California;JSON Communications;connecting systems;25972
7;open-source Avon;Borders invoice Sleek;Central;72784
8;driver leading-edge TCP;synergistic blue Chief;Nebraska;91308
9;Optimization;uniform Sleek;Franc;88489
10;Armenian;Cambridgeshire;circuit;4152
